Time Period,B_State,Charge_R,Discharge_R,Grid_I,Grid_E
116,27082.6092530433,0.0,13724.36432,0.0,0.0
117,12870.228161509,0.0,13501.71058,0.0,0.0
118,0.0,0.0,12226.6923,0.0,0.0
119,0.0,0.0,0.0,14425.7687,0.0
120,0.0,0.0,0.0,10570.43848,0.0
121,0.0,0.0,0.0,9374.218285,0.0
122,388.97365363746,409.445951197327,0.0,9579.16432719733,0.0
123,23716.4427244349,24555.2314197313,0.0,31640.5903817313,0.0
124,23716.3952915494,0.0,0.0,7994.552619,0.0
125,16041.2748113904,0.0,7291.319395,0.0,0.0
126,7415.99935410397,0.0,8193.981206,0.0,0.0
127,0.0,0.0,7045.185296,0.0,0.0
128,0.0,0.0,0.0,10817.37124,0.0
129,4911.36550401736,5169.85842528143,0.0,13695.9063422814,0.0
130,28238.8255300311,24555.2314197313,0.0,32902.1842977313,0.0
131,51566.2389011248,24555.2314197313,0.0,32805.6692887313,0.0
132,74893.6056173917,24555.2314197313,0.0,34060.8702457313,0.0
133,98220.9256789252,24555.2314197313,0.0,36028.9613697313,0.0
134,98220.9256789252,0.206780896160605,0.0,10879.0029808962,0.0
135,98220.7292370738,0.0,0.0,12136.95496,0.0
136,85610.0747429838,0.0,11979.93515,0.0,0.0
137,70964.6024386238,0.0,13913.03603,0.0,0.0
138,45116.8484886491,0.0,24555.2314197313,0.0,12384.5614697313
139,19269.1462341824,0.0,24555.2314197313,0.0,15247.9686247313
140,12689.1610064162,0.0,6250.949355,0.0,0.0
141,8306.40328809421,0.0,4163.595723,0.0,0.0
142,2939.34466370869,0.0,5098.689911,0.0,0.0
143,0.0,0.0,2792.3718457684,2305.4182942316,0.0
144,0.0,0.0,0.0,6844.955135,0.0
145,0.0,0.0,0.0,3173.17394,0.0
146,3519.59421320894,3704.83601390414,0.0,8769.89481190415,0.0
147,26847.0570227652,24555.2314197313,0.0,27610.1239957313,0.0
148,26847.0033286512,0.0,0.0,3850.577728,0.0
149,20075.1639662235,0.0,6433.196385,0.0,0.0
150,11779.0004106324,0.0,7881.317235,0.0,0.0
151,0.0,0.0,11190.02801,0.0,0.0
152,0.0,0.0,0.0,10131.52347,0.0
153,4911.36550401736,5169.85842528143,0.0,16332.8000352814,0.0
154,28238.8255300311,24555.2314197313,0.0,37426.6932897313,0.0
155,51566.2389011248,24555.2314197313,0.0,38220.9359397313,0.0
156,74893.6056173917,24555.2314197313,0.0,39643.4301997313,0.0
157,98220.9256789252,24555.2314197313,0.0,38999.7640197313,0.0
158,98220.9256789252,0.206780896160605,0.0,12123.7692008962,0.0
159,98220.9256789252,0.206780896160605,0.0,6630.54143589616,0.0
160,90774.1863833896,0.0,7074.215711,0.0,0.0
161,78554.5626455432,0.0,11608.47008,0.0,0.0
162,63960.5171843728,0.0,13864.1939344429,0.0,3451.37615444285
163,38112.7772425686,0.0,24555.2314197313,0.0,13344.4040997313
164,25128.3562591194,0.0,12335.12752,0.0,0.0
165,12485.4139813543,0.0,12010.74742,0.0,0.0
166,0.0,0.0,11861.11956,0.0,0.0
167,0.0,0.0,0.0,12977.60419,0.0
168,0.0,0.0,0.0,11904.31352,0.0
169,0.0,0.0,0.0,5764.719949,0.0
170,0.0,0.0,0.0,5567.03884,0.0
171,16184.140923902,17035.9378146336,0.0,22277.9092206336,0.0
172,16184.1085556201,0.0,0.0,4902.544965,0.0
173,10155.6567652977,0.0,5726.998451,0.0,0.0
174,5859.09736977369,0.0,4081.71213,0.0,0.0
175,0.0,0.0,5566.131369,0.0,0.0
176,0.0,0.0,0.0,4380.348625,0.0
177,4911.36550401736,5169.85842528143,0.0,10866.8455292814,0.0
178,28238.8255300311,24555.2314197313,0.0,29313.2866797313,0.0
179,51566.2389011248,24555.2314197313,0.0,28117.7051167313,0.0
180,74893.6056173917,24555.2314197313,0.0,32809.8190317313,0.0
181,98220.9256789252,24555.2314197313,0.0,30646.5007317313,0.0
182,98220.9256789252,0.206780896160605,0.0,6980.10330289616,0.0
183,98220.7292370738,0.0,0.0,8469.546043,0.0
184,87690.4438903522,0.0,10003.58446,0.0,0.0
185,76365.6861199908,0.0,10758.35327,0.0,0.0
186,50517.9213678487,0.0,24555.2314197313,0.0,15255.4664207313
187,24670.2083112362,0.0,24555.2314197313,0.0,17624.4910807313
188,18704.9324960828,0.0,5666.965151,0.0,0.0
189,12039.6606725336,0.0,6331.972693,0.0,0.0
190,4849.12350479117,0.0,6830.987434,0.0,0.0
191,0.0,0.0,4606.65811621695,675.295250783052,0.0
192,0.0,0.0,0.0,4894.828076,0.0
193,0.0,0.0,0.0,1509.669031,0.0
194,0.0,0.0,0.0,2451.127981,0.0
195,14176.1121970767,14922.2233653439,0.0,15365.9530625439,0.0
196,14176.0838448523,0.0,0.0,2673.231649,0.0
197,12237.0028779478,0.0,1842.099984,0.0,0.0
198,6497.23419025785,0.0,5452.757003,0.0,0.0
199,0.0,0.0,6172.360136,0.0,0.0
200,0.0,0.0,0.0,6756.703626,0.0
